id,stratum,areastratum,transect,grid,length,DATE,YEAR,observer,Point,PointStartTime,StartTime,EndTime,TEMP_ST,TEMP_END,SKY_ST,SKY_END,WIND_ST,WIND_END,PtVisitZone,PtVisitEasting,PtVisitNorthing,Species,BirdCode,perpDistance,How,CL_Count,CL_ID,
1,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,102,842,750,857,3,7,1,0,2,2,13,578800,3362750,Loggerhead Shrike,LOSH,260,V,1,NULL,
2,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,102,842,750,857,3,7,1,0,2,2,13,578800,3362750,Northern Harrier,NOHA,130,V,1,NULL,
3,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,102,842,750,857,3,7,1,0,2,2,13,578800,3362750,BAIS;GRSP;SAVS,AMPA,1,V,1,NULL,
4,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,102,842,750,857,3,7,1,0,2,2,13,578800,3362750,Black-throated Sparrow,BTSP,70,V,3,NULL,
5,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Unknown Bird,UNBI,60,O,1,NULL,
6,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Black-throated Sparrow,BTSP,27,O,1,NULL,
7,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Eastern Meadowlark,EAME,120,V,1,NULL,
8,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,House Finch,HOFI,130,V,36,NULL,
9,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,House Finch,HOFI,30,O,1,NULL,
10,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,House Finch,HOFI,188,V,5,NULL,
11,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Black-throated Sparrow,BTSP,99,V,1,NULL,
12,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Northern Harrier,NOHA,81,V,1,NULL,
13,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Black-throated Sparrow,BTSP,21,O,1,NULL,
14,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Eastern Meadowlark,EAME,36,O,1,NULL,
15,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Unknown Sparrow,UNSP,48,V,1,NULL,
16,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Vesper Sparrow,VESP,1,V,1,NULL,
17,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,104,818,750,857,3,7,1,0,2,2,13,578600,3362750,Unknown Sparrow,UNSP,200,V,1,NULL,
18,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Unknown Sparrow,UNSP,56,O,1,NULL,
19,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Vesper Sparrow,VESP,6,O,1,NULL,
20,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Unknown Sparrow,UNSP,16,O,1,NULL,
21,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Unknown Sparrow,UNSP,40,O,1,NULL,
22,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Black-throated Sparrow,BTSP,40,O,1,NULL,
23,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,106,804,750,857,3,7,1,0,2,2,13,578400,3362750,Black-throated Sparrow,BTSP,11,O,1,NULL,
24,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,108,750,750,857,3,7,1,0,2,2,13,578200,3362750,Unknown Raptor,UNRA,200,V,1,NULL,
25,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,108,750,750,857,3,7,1,0,2,2,13,578200,3362750,Black-throated Sparrow,BTSP,26,O,1,NULL,
26,HT,33.12,HT1-1,HT1,800,1/18/2019,2019,SORUE,108,750,750,857,3,7,1,0,2,2,13,578200,3362750,Common Raven,CORA,181,O,1,NULL,
27,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,202,908,908,951,7,11,0,0,3,3,13,578800,3362500,Unknown Sparrow,UNSP,300,V,1,NULL,
28,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,202,908,908,951,7,11,0,0,3,3,13,578800,3362500,Black-throated Sparrow,BTSP,40,O,1,NULL,
29,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,204,918,908,951,7,11,0,0,3,3,13,578600,3362500,Black-throated Sparrow,BTSP,52,O,1,NULL,
30,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,204,918,908,951,7,11,0,0,3,3,13,578600,3362500,Unknown Sparrow,UNSP,21,O,1,NULL,
31,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,206,926,908,951,7,11,0,0,3,3,13,578400,3362500,Unknown Meadowlark,UNME,430,V,1,NULL,
32,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,206,926,908,951,7,11,0,0,3,3,13,578400,3362500,Black-throated Sparrow,BTSP,42,O,2,NULL,
33,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,206,926,908,951,7,11,0,0,3,3,13,578400,3362500,Black-throated Sparrow,BTSP,18,V,1,NULL,
34,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,206,926,908,951,7,11,0,0,3,3,13,578400,3362500,Black-throated Sparrow,BTSP,30,O,1,NULL,
35,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,206,926,908,951,7,11,0,0,3,3,13,578400,3362500,Black-throated Sparrow,BTSP,50,O,1,NULL,
36,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,208,937,908,951,7,11,0,0,3,3,13,578200,3362500,Unknown Bird,UNBI,208,V,1,NULL,
37,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,208,937,908,951,7,11,0,0,3,3,13,578200,3362500,Unknown Raven,UNRV,400,O,1,NULL,
38,HT,33.12,HT1-2,HT1,800,1/18/2019,2019,SORUE,208,937,908,951,7,11,0,0,3,3,13,578200,3362500,Loggerhead Shrike,LOSH,60,O,1,NULL,
39,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Unknown Sparrow,UNSP,60,O,1,NULL,
40,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Savannah Sparrow,SAVS,3,V,1,NULL,
41,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Unknown Meadowlark,UNME,44,V,1,NULL,
42,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Unknown Sparrow,UNSP,50,V,1,NULL,
43,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,White-crowned Sparrow,WCSP,32,V,1,NULL,
44,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Unknown Sparrow,UNSP,30,V,3,NULL,
45,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Northern Harrier,NOHA,12,V,1,NULL,
46,HT,33.12,HT1-3,HT1,800,1/18/2019,2019,SORUE,302,1033,1003,1043,12,15,0,0,4,4,13,578800,3362250,Sagebrush Sparrow,SAGS,32,V,1,NULL,
