Point,PointYear,TransectNum,Grid,Stratum,Season,DATE,StratumYear,TransectVisitObserver,gc_shrub_50m,shrub_height_50m,gc_grass_50m,grass_height_50m,gc_forb_50m,gc_bare_50m,gc_litter_50m,gc_woody_50m,gc_tumbleweed_50m,gc_other_50m,gc_grass_nubs_50m,shrub_cover,primaryHabitat,gc_shrub_05m,shrub_height_05m,gc_grass_05m,grass_height_05m,gc_forb_05m,gc_bare_05m,gc_litter_05m,gc_woody_05m,gc_tumbleweed_05m,gc_other_05m,gc_grass_nubs_05m,grass_species_1,grass_species_1_pct,grass_species_2,grass_species_2_pct,GrassSpecies1ScientificName,GrassSpecies1CommonName,GrassSpecies1Code2,GrassSpecies1Code6,GrassSpecies2ScientificName,GrassSpecies2CommonName,GrassSpecies2Code2,GrassSpecies2Code6,ShrubLayerCode6_1,ShrubLayerSpeciesAbundance_1,ShrubLayerCommonName_1,ShrubLayerScientificName_1,ShrubLayerCode6_2,ShrubLayerSpeciesAbundance_2,ShrubLayerCommonName_2,ShrubLayerScientificName_2
HC10-102,2019-HC10-102,HC10-1,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,0,NA,50,50,0,40,10,0,0,0,0,0,GR,0,NA,30,55,0,60,10,0,0,0,0,19,50,11,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC10-104,2019-HC10-104,HC10-1,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,0,NA,40,35,0,55,5,0,0,0,0,0,GR,0,NA,10,20,0,85,5,0,0,0,0,6,70,44,30,Aristida sp.,Aristida sp,AR,ARI_SP,Hilaria sp.,NA,HS,HIL_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC10-106,2019-HC10-106,HC10-1,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,0,NA,30,30,0,59,10,1,0,0,0,0,GR,0,NA,10,25,1,84,5,0,0,0,0,19,50,6,50,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC10-108,2019-HC10-108,HC10-1,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,1,75,40,45,0,54,5,0,0,0,0,1,GR,0,NA,30,40,1,64,5,0,0,0,0,19,60,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,70,Soaptree Yucca,Yucca elata,MIMBIU,30,Catclaw Mimosa,Mimosa biuncifera
HC10-202,2019-HC10-202,HC10-2,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,5,50,50,35,0,39,5,1,0,0,0,10,GR,1,25,40,50,0,57,1,1,0,0,0,19,90,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,YUCELA,30,Soaptree Yucca,Yucca elata,RHUMIC,70,Littleleaf Sumac,Rhus microphylla
HC10-204,2019-HC10-204,HC10-2,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,0,NA,30,30,0,69,1,0,0,0,0,0,GR,0,NA,20,25,0,79,1,0,0,0,0,19,80,11,20,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Bothriochloa sp.,NA,B6,BOT_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC10-206,2019-HC10-206,HC10-2,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,0,NA,40,40,0,50,10,0,0,0,0,0,GR,0,NA,30,40,0,60,10,0,0,0,0,19,80,6,10,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,NA,NA,NA,NA,NA,NA,NA,NA
HC10-208,2019-HC10-208,HC10-2,HC10,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,SOH,5,25,30,45,1,58,5,1,0,0,0,5,GR,1,25,20,35,1,73,5,0,0,0,0,19,60,6,40,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,Aristida sp.,Aristida sp,AR,ARI_SP,EPHTRI,20,Mormon Tea,Ephedra trifurca,RHUMIC,80,Littleleaf Sumac,Rhus microphylla
HC11-102,2019-HC11-102,HC11-1,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,1,50,20,65,1,62,5,1,0,10,0,1,GR,0,NA,10,45,1,78,5,1,0,5,0,6,65,19,30,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,NOLTEX,80,NA,Nolina texana,CONERI,15,Javelina Bush,Condalia ericoides
HC11-104,2019-HC11-104,HC11-1,HC11,HC,2019,"sábado, 2 de febrero de 2019",HC-2019,IGONZ,5,75,5,50,1,73,5,1,0,10,0,1,BA,1,75,1,50,1,85,1,0,0,10,1,6,80,19,15,Aristida sp.,Aristida sp,AR,ARI_SP,Bouteloua sp.,Bouteloua sp.,BO,BOU_SP,YUCELA,70,Soaptree Yucca,Yucca elata,PROGLA,25,Honey Mesquite,Prosopis glandulosa
